docket,usCite
08-1301,560 U.S. 438
1204449,560 U.S. 474
08-998,560 U.S. 505
09-337,560 U.S. 538
09-940,
20698,560 U.S. 563
08-1322,560 U.S. 586
09-367,560 U.S. 605
1250469,560 U.S. 631
08-1457,560 U.S. 674
08-1151,560 U.S. 702
08-1332,560 U.S. 746
08-538,560 U.S. 770
1619729,560 U.S. 817
08-1498,561 U.S. 1
31290,561 U.S. 1
09-497,561 U.S. 63
08-1553,561 U.S. 89
08-1554,561 U.S. 89
09-475,561 U.S. 139
09-559,561 U.S. 186
08-1191,561 U.S. 247
08-1214,561 U.S. 287
09-158,561 U.S. 320
08-1394,561 U.S. 358
08-876,561 U.S. 465
08-861,130 U.S. 3138
08-964,
08-1371,
08-1521,561 U.S. 742
2538680,561 U.S. 945
08-1065,558 U.S. 1103
32050,
09-479,
1888183,
09-350,
08-1423,
25111,
09-837,
09-907,
09-587,
09-658,
09-530,
10-333,
09-329,
09-737,
09-291,
09-152,
09-520,
09-996,
08-1314,
09-150,
09-1279,
09-400,
09-1036,
09-751,
1796507,
09-868,
09-1163,
2592005,
10-797,
09-834,
09-1156,
09-571,
09-1273,
09-987,
09-991,
09-1088,
08-1438,
09-529,
10-1000,
"137, Orig.",
09-893,
09-846,
10-188,
09-804,
09-1272,
09-1298,
09-1302,
09-1233,
09-115,
09-1498,
1292867,
09-1454,
09-1478,
40821,
34607,
10-114,
1225298,
09-1159,
09-1403,
10-290,
09-1533,
10-313,
10-329,
09-11311,
1423594,
10-382,
09-525,
10-568,
09-1227,
09-11328,
09-11121,
09-1205,
1277162,
10-277,
09-1476,
10-174,
40825,
10-235,
09-10876,
09-993,
09-1039,
09-1501,
10-779,
09-10245,
10-179,
09-940,
26572,
09-1343,
08-1448,
10-238,
10-239,
11_001,
11_002,
11_081,
09-11556,
10-1115,
10-637,
10-1540,
10-1521,
10-895,
10-1104,
10-948,
2279753,
2582539,
10-507,
10-553,
25872,
10-694,
10-1195,
10-545,
21823,
1696826,
11-208,
10-224,
10-1259,
11-713,
11-714,
11-715,
10-577,
10-680,
12723,
11-391,
11-394,
10-704,
10-218,
09-958,
09-1158,
10-283,
10-879,
10-1265,
10-1001,
10-1016,
10-1399,
10-1150,
10-1261,
10-699,
10-209,
10-444,
10-1062,
2002899,
10-1211,
10-1024,
11-199,
10-788,
10-945,
10-844,
10-1018,
30986,
10-1219,
2955451,
11-139,
10-875,
11-159,
10-1472,
10-1542,
10-1543,
10-1320,
10-1042,
11-166,
11-1053,
11-262,
11-161,
11-845,
15280,
11-246,
11-247,
11-551,
11-204,
2411240,
33177,
10-1121,
1380557,
1394436,
10-1293,
11-1179,
2827982,
2828347,
11-182,
11-210,
11-393,
11-400,
11-398,
10-708,
11-597,
12-168,
11-1377,
11-192,
11-184,
2583301,
11-982,
11-460,
10-930,
11-218,
11-626,
11-1231,
11-1347,
11-770,
11-1160,
11-817,
2704195,
11-465,
11-1327,
11-820,
11-1175,
11-1025,
11-1274,
11-1085,
11-1351,
11-697,
11-1450,
11-338,
11-347,
34668,
11-1118,
11-564,
11-864,
11-10362,
12-382,
11-1059,
11-1285,81 U.S. 4236
10-1491,
11-1425,
11-702,
40893,
2940142,
17867,
11-1518,
11-796,
11-1545,
11-1547,
14579,
12-547,
12-236,
12-126,
11-10189,
12-207,
11-1221,
12-694,
12-123,
21519,
12-135,
11-798,
11-889,
12-167,
12-398,
12-246,
12-416,
2714422,
40901,
24806,
40886,
12-133,
2789297,
11-345,
12-142,
11-556,
12-418,
12-484,
33938,
11-1447,
12-399,
12-1084,
12-144,
12-357,
12-307,
12-872,
12-1217,
12-414,
13-113,
12-562,
12-929,
12-815,
35033,
12-609,
12-729,
11-965,
12-1036,
12-992,
12-1128,
2049710,
12-417,
12-315,
13-6440,
12-464,
2161840,
12-574,
27728,
30285,
31016,
12-1038,
40879,
1202714,
12-820,
12-138,
12-895,
12-1173,
12-873,
12-1408,
12-1371,
12-536,
12-462,
12-682,
2771065,
12-794,
2431755,
12-1182,
12-1183,
12-1184,
12-1163,
12-696,
2596479,
13-551,
12-1315,
12-10882,
13-115,
12-515,
12-1117,
13-5967,
12-786,
13-369,
12-158,
13-339,
12-1200,
12-930,
12-761,
13-299,
12-842,
13-193,
12-1493,
13-317,
12-1146,
12-1268,
12-1248,
12-1269,
12-1254,
12-1272,
13-316,
13-132,
13-212,
12-751,
13-461,
12-1168,
12-1281,
13-354,
13-356,
11-681,
13-9085,
13-483,
13-298,
13-301,
